Player,Country,StartYear,EndYear,Matches,Innings,NO,Runs,Highest,Average,100s,50s,0s
SR Tendulkar,INDIA,1989,2013,200,329,33,15921,248*,53.78,51,68,14
RT Ponting,AUS,1995,2012,168,287,29,13378,257,51.85,41,62,17
JH Kallis,SA,1995,2013,166,280,40,13289,224,55.37,45,58,16
R Dravid,INDIA,1996,2012,164,286,32,13288,270,52.31,36,63,8
KC Sangakkara,SL,2000,2015,134,233,17,12400,319,57.40,38,52,11
BC Lara,WI,1990,2006,131,232,6,11953,400*,52.88,34,48,17
S Chanderpaul,WI,1994,2015,164,280,49,11867,203*,51.37,30,66,15
DPMD Jayawardene,SL,1997,2014,149,252,15,11814,374,49.84,34,50,15
AR Border,AUS,1978,1994,156,265,44,11174,205,50.56,27,63,11
AN Cook,ENG,2006,2016,140,253,15,11057,294,46.45,30,53,8
SR Waugh,AUS,1985,2004,168,260,46,10927,200,51.06,32,50,22
SM Gavaskar,INDIA,1971,1987,125,214,16,10122,236*,51.12,34,45,12
Younis Khan,PAK,2000,2017,115,207,19,9977,313,53.06,34,32,18
GC Smith,SA,2002,2014,117,205,13,9265,277,48.25,27,38,11
GA Gooch,ENG,1975,1995,118,215,6,8900,333,42.58,20,46,13
Javed Miandad,PAK,1976,1993,124,189,21,8832,280*,52.57,23,43,6
Inzamam-ul-Haq,PAK,1992,2007,120,200,22,8830,329,49.60,25,46,15
VVS Laxman,INDIA,1996,2012,134,225,34,8781,281,45.97,17,56,14
MJ Clarke,AUS,2004,2015,115,198,22,8643,329*,49.10,28,27,9
ML Hayden,AUS,1994,2009,103,184,14,8625,380,50.73,30,29,14
V Sehwag,INDIA,2001,2013,104,180,6,8586,319,49.34,23,32,16
IVA Richards,WI,1974,1991,121,182,12,8540,291,50.23,24,45,10
AJ Stewart,ENG,1990,2003,133,235,21,8463,190,39.54,15,45,14
DI Gower,ENG,1978,1992,117,204,18,8231,215,44.25,18,39,7
KP Pietersen,ENG,2005,2014,104,181,8,8181,227,47.28,23,35,10
G Boycott,ENG,1964,1982,108,193,23,8114,246*,47.72,22,42,10
AB de Villiers,SA,2004,2016,106,176,16,8074,278*,50.46,21,39,7
GS Sobers,WI,1954,1974,93,160,21,8032,365*,57.78,26,30,12
ME Waugh,AUS,1991,2002,128,209,17,8029,153*,41.81,20,47,19
HM Amla,SA,2004,2017,101,171,13,7824,311*,49.51,26,31,10
MA Atherton,ENG,1989,2001,115,212,7,7728,185*,37.69,16,46,20
IR Bell,ENG,2004,2015,118,205,24,7727,235,42.69,22,46,14
JL Langer,AUS,1993,2007,105,182,12,7696,250,45.27,23,30,11
MC Cowdrey,ENG,1954,1975,114,188,15,7624,182,44.06,22,38,9
CG Greenidge,WI,1974,1991,108,185,16,7558,226,44.72,19,34,11
Mohammad Yousuf,PAK,1998,2010,90,156,12,7530,223,52.29,24,33,11
MA Taylor,AUS,1989,1999,104,186,13,7525,334*,43.49,19,40,5
CH Lloyd,WI,1966,1985,110,175,14,7515,242*,46.67,19,39,4
DL Haynes,WI,1978,1994,116,202,25,7487,184,42.29,18,39,10
DC Boon,AUS,1984,1996,107,190,20,7422,200,43.65,21,32,16
G Kirsten,SA,1993,2004,101,176,15,7289,275,45.27,21,34,13
WR Hammond,ENG,1927,1947,85,140,16,7249,336*,58.45,22,24,4
CH Gayle,WI,2000,2014,103,182,11,7214,333,42.18,15,37,15
SC Ganguly,INDIA,1996,2008,113,188,17,7212,239,42.17,16,35,13
SP Fleming,NZ,1994,2008,111,189,10,7172,274*,40.06,9,46,16
GS Chappell,AUS,1970,1984,87,151,19,7110,247*,53.86,24,31,12
AJ Strauss,ENG,2004,2012,100,178,6,7037,177,40.91,21,27,15
DG Bradman,AUS,1928,1948,52,80,10,6996,334,99.94,29,13,7
ST Jayasuriya,SL,1991,2007,110,188,14,6973,340,40.07,14,31,15
L Hutton,ENG,1937,1955,79,138,15,6971,364,56.67,19,33,5
DB Vengsarkar,INDIA,1976,1992,116,185,22,6868,166,42.13,17,35,15
KF Barrington,ENG,1955,1968,82,131,15,6806,256,58.67,20,35,5
GP Thorpe,ENG,1993,2005,100,179,28,6744,200*,44.66,16,39,12
BB McCullum,NZ,2004,2016,101,176,9,6453,302,38.64,12,31,14
PA de Silva,SL,1984,2002,93,159,11,6361,267,42.97,20,22,7
MEK Hussey,AUS,2005,2013,79,137,16,6235,195,51.52,19,29,12
RB Kanhai,WI,1957,1974,79,137,6,6227,256,47.53,15,28,7
